2026-05-14 16:21:19 | Jules | Hey Serveur!
2026-05-15 09:25:07 | Bob | Bonjour
2026-05-15 09:25:32 | Jules | Bonjour
2026-05-15 09:28:22 | Bob | Bonjour
2026-05-15 09:31:33 | Bob | Bonjout
2026-05-15 09:32:06 | Jules | Bonjour
2026-05-15 09:32:29 | Bob | 
2026-05-15 09:48:24 | Jule | Bonjour
2026-05-15 09:48:41 | Bob | Bonjour
2026-05-15 16:59:28 | Bob | Bonjour
2026-05-15 16:59:49 | Jules | Bonjour
2026-05-15 17:00:23 | Bob | None
2026-05-15 17:34:43 | Jules | Bonjoit
2026-05-15 17:35:25 | Bob | Bonjour
2026-05-15 17:35:41 | Bob | None
2026-05-15 17:35:44 | Jean | Bon
2026-05-15 21:59:13 | Bob | Bonjour!
2026-05-15 22:38:28 | SYSTEME | Bob a rejoint le chat
2026-05-15 22:38:39 | SYSTEME | Juled a rejoint le chat
2026-05-15 22:38:55 | Bob | Bonjour
2026-05-15 22:38:59 | Bob | Ca va?
2026-05-15 22:39:12 | Juled | Wesh!!!
2026-05-15 22:39:35 | Juled | Ca roule my bro! et toi what's up?
2026-05-15 22:39:45 | SYSTEME | Bob a quitté le chat
